VDOT E(easy)/L(long) M(marathon pace) T(threshold pace)
Km Mile Km Mile 400m Km Mile
30 7:27-8:14 12:00-13:16 7:03 11:21 2:33 6:24 10:18
31 7:16-8:02 11:41-12:57 6:52 11:02 2:30 6:14 10:02
32 7:05-7:52 11:24-12:39 6:40 10:44 2:26 6:05 9:47
33 6:55-7:41 11:07-12:21 6:30 10:27 2:23 5:56 9:33
34 6:45-7:31 10:52-12:05 6:20 10:11 2:19 5:48 9:20
35 6:36-7:21 10:37-11:49 6:10 9:56 2:16 5:40 9:07
36 6:27-7:11 10:23-11:34 6:01 9:41 2:13 5:33 8:55
37 6:19-7:02 10:09-11:20 5:53 9:28 2:10 5:26 8:44
38 6:11-6:54 9:56-11:06 5:45 9:15 2:07 5:19 8:33
39 6:03-6:46 9:44-10:53 5:37 9:02 2:05 5:12 8:22
40 5:56-6:38 9:32-10:41 5:29 8:50 2:02 5:06 8:12
41 5:49-6:31 9:21-10:28 5:22 8:39 2:00 5:00 8:02
42 5:42-6:23 9:10-10:17 5:16 8:28 1:57 4:54 7:52
43 5:35-6:16 9:00-10:05 5:09 8:17 1:55 4:49 7:42
44 5:29-6:10 8:50-9:55 5:03 8:07 1:53 4:43 7:33
45 5:23-6:03 8:40-9:44 4:57 7:58 1:51 4:38 7:25
46 5:17-5:57 8:31-9:34 4:51 7:49 1:49 4:33 7:17
47 5:12-5:51 8:22-9:25 4:46 7:40 1:47 4:29 7:09
48 5:07-5:45 8:13-9:15 4:41 7:32 1:45 4:24 7:02
49 5:01-5:40 8:05-9:06 4:36 7:24 1:43 4:20 6:56
50 4:56-5:34 7:57-8:58 4:31 7:17 1:41 4:15 6:50
51 4:52-5:29 7:49-8:49 4:27 7:09 1:40 4:11 6:44
52 4:47-5:24 7:42-8:41 4:22 7:02 98 4:07 6:38
53 4:43-5:19 7:35-8:33 4:18 6:56 97 4:04 6:32
54 4:38-5:14 7:28-8:26 4:14 6:49 95 4:00 6:26
55 4:34-5:10 7:21-8:18 4:10 6:43 94 3:56 6:20
56 4:30-5:05 7:15-8:11 4:06 6:37 93 3:53 6:15
57 4:26-5:01 7:08-8:04 4:03 6:31 91 3:50 6:09
58 4:22-4:57 7:02-7:58 3:59 6:25 90 3:46 6:04
59 4:19-4:53 6:56-7:51 3:56 6:19 89 3:43 5:59
60 4:15-4:49 6:50-7:45 3:52 6:14 88 3:40 5:54
61 4:11-4:45 6:45-7:39 3:49 6:09 86 3:37 5:50
62 4:08-4:41 6:39-7:33 3:46 6:04 85 3:34 5:45 
63 4:05-4:38 6:34-7:27 3:43 5:59 84 3:32 5:41
64 4:02-4:34 6:29-7:21 3:40 5:54 83 3:29 5:36
65 3:59-4:31 6:24-7:16 3:37 5:49 82 3:26 5:32
66 3:56-4:28 6:19-7:10 3:34 5:45 81 3:24 5:28
67 3:53-4:24 6:15-7:05 3:31 5:40 80 3:21 5:24
68 3:50-4:21 6:10-7:00 3:29 5:36 79 3:19 5:20
69 3:47-4:18 6:06-6:55 3:26 5:32 78 3:16 5:16
70 3:44-4:15 6:01-6:50 3:24 5:28 77 3:14 5:13
71 3:42-4:12 5:57-6:46 3:21 5:24 76 3:12 5:09
72 3:40-4:00 5:53-6:41 3:19 5:20 76 3:10 5:05
73 3:37-4:07 5:49-6:37 3:16 5:16 75 3:08 5:02
74 3:34-4:04 5:45-6:32 3:14 5:12 74 3:06 4:59
75 3:32-4:01 5:41-6:28 3:12 5:09 74 3:04 4:56
76 3:30-3:58 5:38-6:24 3:10 5:05 73 3:02 4:52
77 3:28-3:56 5:34-6:20 3:08 5:02 72 3:00 4:49
78 3:25-3:53 5:30-6:16 3:06 4:58 71 2:58 4:46
79 3:23-3:51 5:27-6:12 3:03 4:55 70 2:56 4:43
80 3:21-3:49 5:24-6:08 3:01 4:52 70 2:54 4:41
81 3:19-3:46 5:20-6:04 3:00 4:49 69 2:53 4:38
82 3:17-3:44 5:17-6:01 2:58 4:46 68 2:51 4:35
83 3:15-3:42 5:14-5:57 2:56 4:43 68 2:49 4:32
84 3:13-3:40 5:11-5:54 2:54 4:40 67 2:48 4:30
85 3:11-3:38 5:08-5:50 2:52 4:37 66 2:46 4:27 
