Interval400 IntervalKM Interval1200 IntervalM Repetition200 Repetition300 Repetition400 Repetition600 Repetition800 VDOT
2:22 - - - 67 1:41 - - - 30
2:18 - - - 65 98 - - - 31
2:14 - - - 63 95 - - - 32
2:11 - - - 61 92 - - - 33
2:08 - - - 60 90 2:00 - - 34
2:05 - - - 58 87 1:57 - - 35
2:02 - - - 57 85 1:54 - - 36
1:59 5:00 - - 55 83 1:51 - - 37
1:56 4:54 - - 54 81 1:48 - - 38
1:54 4:48 - - 53 80 1:46 - - 39
1:52 4:42 - - 52 78 1:44 - - 40
1:50 4:36 - - 51 77 1:42 - - 41
1:48 4:31 - - 50 75 1:40 - - 42
1:46 4:26 - - 49 74 98 - - 43
1:44 4:21 - - 48 72 96 - - 44
1:42 4:16 - - 47 71 94 - - 45
1:40 4:12 5:00 - 46 69 92 - - 46
98 4:07 4:54 - 45 68 90 - - 47
96 4:03 4:49 - 44 67 89 - - 48
95 3:59 4:45 - 44 66 88 - - 49
93 3:55 4:40 - 43 65 87 - - 50
92 3:51 4:36 - 43 64 86 - - 51
91 3:48 4:32 - 42 64 85 - - 52
90 3:44 4:29 - 42 63 84 - - 53
88 3:41 4:25 - 41 62 82 - - 54
87 3:37 4:21 - 40 61 81 - - 55
86 3:34 4:18 - 40 60 80 2:00 - 56
85 3:31 4:14 - 39 59 79 1:57 - 57
83 3:28 4:10 - 38 58 77 1:55 - 58
82 3:25 4:07 - 38 57 76 1:54 - 59
81 3:23 4:03 - 37 56 75 1:52 - 60
80 3:20 4:00 - 37 55 74 1:51 - 61
79 3:17 3:57 - 36 54 73 1:49 - 62
78 3:15 3:54 - 36 53 72 1:48 - 63
77 3:12 3:51 - 35 52 71 1:46 - 64
76 3:10 3:48 - 35 52 70 1:45 - 65
75 3:08 3:45 5:00 34 51 69 1:43 - 66
74 3:05 3:42 4:57 34 51 68 1:42 - 67
73 3:03 3:39 4:53 33 50 67 1:40 - 68
72 3:01 3:36 4:50 33 49 66 99 - 69
71 2:59 3:34 4:46 32 48 65 97 - 70
70 2:57 3:31 4:43 32 48 64 96 - 71
69 2:55 3:29 4:40 31 47 63 94 - 72
69 2:53 3:27 4:37 31 47 63 93 - 73
68 2:51 3:25 4:34 31 46 62 92 - 74
67 2:49 3:22 4:31 30 46 61 91 - 75
66 2:48 3:20 4:28 30 45 60 90 - 76
65 2:46 3:18 4:25 29 45 59 89 2:00 77
65 2:44 3:16 4:23 29 44 59 88 1:59 78
64 2:42 3:14 4:20 29 44 58 87 1:58 79
64 2:41 3:12 4:17 29 43 58 87 1:56 80
63 2:39 3:10 4:15 28 43 57 86 1:55 81
62 2:38 3:08 4:12 28 42 56 85 1:54 82
62 2:36 3:07 4:10 28 42 56 84 1:53 83
61 2:35 3:05 4:08 27 41 55 83 1:52 84
61 2:33 3:03 4:05 27 41 55 82 1:51 85
