VDOT Easy-KM Easy-Mile Long-KM Long-Mile Marathon-KM Marathon-Mile Threshold-KM Threshold-Mile Recovery-KM Recovery-Mile Interval-KM Interval-Mile Repetition-KM Repetition-Mile 1,500-KM 1,500-Mile Mile-KM Mile-Mile 3,000-KM 3,000-Mile 2Mile-KM 2Mile-Mile 5,000-KM 5,000-Mile 10K-KM 10K-Mile 15K-KM 15K-Mile 10Mile-KM 10Mile-Mile HalfMarathon-KM HalfMarathon-Mile Marathon-KM Marathon-Mile
30 7:27 12:00 8:14 13:16 7:03 11:21 6:24 10:18 7:56 12:45 5:55 9:31 5:36 9:01 5:40 9:07 5:42 9:11 6:00 9:39 5:58 9:37 6:08 9:52 6:22 10:15 6:32 10:32 6:34 10:34 6:41 10:45 6:51 11:01
31 7:16 11:41 8:02 12:57 6:52 11:02 6:14 10:02 7:45 12:28 5:45 9:15 5:26 8:45 5:30 8:51 5:32 8:55 5:50 9:24 5:49 9:21 5:58 9:36 6:12 9:59 6:22 10:15 6:23 10:17 6:30 10:28 6:40 10:45
32 7:05 11:24 7:52 12:39 6:40 10:44 6:05 9:47 7:35 12:12 5:35 8:59 5:16 8:29 5:21 8:37 5:23 8:41 5:41 9:09 5:39 9:06 5:49 9:21 6:02 9:43 6:12 9:59 6:13 10:01 6:20 10:12 6:31 10:29
33 6:55 11:07 7:41 12:21 6:30 10:27 5:56 9:33 7:25 11:57 5:27 8:47 5:06 8:13 5:12 8:23 5:15 8:27 5:32 8:55 5:31 8:52 5:40 9:07 5:53 9:28 6:03 9:44 6:04 9:46 6:10 9:57 6:21 10:14
34 6:45 10:52 7:31 12:05 6:20 10:11 5:48 9:20 7:16 11:42 5:20 8:34 5:00 8:02 5:04 8:10 5:06 8:14 5:24 8:42 5:23 8:39 5:31 8:53 5:44 9:14 5:54 9:29 5:55 9:31 6:01 9:42 6:12 9:59
35 6:36 10:37 7:21 11:49 6:10 9:56 5:40 9:07 7:08 11:28 5:12 8:22 4:52 7:50 4:56 7:57 4:58 8:01 5:16 8:29 5:15 8:26 5:24 8:41 5:36 9:01 5:45 9:15 5:46 9:17 5:53 9:28 6:04 9:45
36 6:27 10:23 7:11 11:34 6:01 9:41 5:33 8:55 7:00 11:15 5:05 8:10 4:45 7:38 4:49 7:45 4:51 7:49 5:08 8:17 5:07 8:15 5:16 8:29 5:28 8:48 5:37 9:02 5:38 9:04 5:45 9:15 5:55 9:32
37 6:19 10:09 7:02 11:20 5:53 9:28 5:26 8:44 6:52 11:02 5:00 8:02 4:37 7:26 4:42 7:34 4:44 7:38 5:01 8:05 5:00 8:03 5:09 8:17 5:20 8:36 5:29 8:50 5:30 8:52 5:37 9:02 5:48 9:20
38 6:11 9:56 6:54 11:06 5:45 9:15 5:19 8:33 6:44 10:50 4:54 7:53 4:30 7:14 4:36 7:24 4:37 7:27 4:54 7:54 4:53 7:52 5:02 8:06 5:13 8:24 5:22 8:38 5:23 8:40 5:29 8:50 5:40 9:08
39 6:03 9:44 6:46 10:53 5:37 9:02 5:12 8:22 6:37 10:38 4:48 7:43 4:25 7:06 4:29 7:13 4:31 7:17 4:48 7:44 4:47 7:41 4:55 7:56 5:06 8:13 5:15 8:27 5:16 8:29 5:22 8:38 5:33 8:56
40 5:56 9:32 6:38 10:41 5:29 8:50 5:06 8:12 6:30 10:27 4:42 7:33 4:20 6:58 4:23 7:03 4:25 7:07 4:42 7:34 4:41 7:32 4:49 7:46 5:00 8:03 5:08 8:16 5:09 8:18 5:15 8:27 5:26 8:45
41 5:49 9:21 6:31 10:28 5:22 8:39 5:00 8:02 6:24 10:17 4:36 7:24 4:15 6:50 4:18 6:55 4:19 6:58 4:36 7:24 4:35 7:22 4:43 7:36 4:54 7:53 5:01 8:05 5:03 8:07 5:09 8:17 5:20 8:35
42 5:42 9:10 6:23 10:17 5:16 8:28 4:54 7:52 6:17 10:07 4:31 7:16 4:10 6:42 4:12 6:46 4:14 6:49 4:30 7:15 4:29 7:13 4:37 7:27 4:48 7:43 4:55 7:55 4:56 7:57 5:02 8:07 5:13 8:25
43 5:35 9:00 6:16 10:05 5:09 8:17 4:49 7:42 6:11 9:57 4:26 7:08 4:05 6:34 4:07 6:38 4:09 6:41 4:25 7:06 4:23 7:04 4:32 7:18 4:42 7:34 4:49 7:46 4:51 7:48 4:56 7:57 5:07 8:15
44 5:29 8:50 6:10 9:55 5:03 8:07 4:43 7:33 6:05 9:48 4:21 7:00 4:00 6:26 4:02 6:29 4:03 6:32 4:19 6:58 4:18 6:55 4:27 7:09 4:36 7:25 4:44 7:37 4:45 7:39 4:50 7:48 5:01 8:06
45 5:23 8:40 6:03 9:44 4:57 7:58 4:38 7:25 6:00 9:39 4:16 6:51 3:55 6:18 3:57 6:21 3:59 6:25 4:14 6:50 4:13 6:47 4:22 7:01 4:31 7:17 4:38 7:28 4:39 7:30 4:45 7:39 4:56 7:56
46 5:17 8:31 5:57 9:34 4:51 7:49 4:33 7:17 5:54 9:30 4:10 6:42 3:50 6:10 3:52 6:14 3:54 6:17 4:10 6:42 4:08 6:40 4:17 6:53 4:26 7:08 4:33 7:20 4:34 7:22 4:39 7:30 4:50 7:48
47 5:12 8:22 5:51 9:25 4:46 7:40 4:29 7:09 5:49 9:22 4:05 6:34 3:45 6:02 3:48 6:06 3:49 6:10 4:05 6:35 4:04 6:32 4:12 6:46 4:21 7:01 4:28 7:11 4:29 7:13 4:34 7:22 4:45 7:39
48 5:07 8:13 5:45 9:15 4:41 7:32 4:24 7:02 5:44 9:14 4:00 6:27 3:42 5:58 3:44 6:00 3:45 6:03 4:00 6:27 3:59 6:25 4:07 6:38 4:17 6:53 4:23 7:04 4:24 7:06 4:29 7:14 4:40 7:31
49 5:01 8:05 5:40 9:06 4:36 7:24 4:20 6:56 5:40 9:06 3:57 6:22 3:40 5:54 3:40 5:54 3:41 5:56 3:56 6:20 3:55 6:18 4:03 6:32 4:12 6:46 4:18 6:56 4:20 6:58 4:25 7:06 4:35 7:24
50 4:56 7:57 5:34 8:58 4:31 7:17 4:15 6:50 5:35 8:59 3:53 6:15 3:37 5:50 3:36 5:47 3:37 5:50 3:52 6:14 3:51 6:11 3:59 6:25 4:08 6:39 4:14 6:49 4:15 6:51 4:20 6:59 4:31 7:16
